,bitscore,annotation,cassette_id
WP_106260488.1|cas12k|Marcus,-1.0,unknown,1
WP_066425713.1|cas12k|Marcus,-1.0,unknown,1
WP_103140752.1|cas12k|Marcus,-1.0,unknown,1
WP_015225496.1|cas12k|Marcus,-1.0,unknown,1
OCQ91136.1|cas12k|Marcus,-1.0,unknown,1
WP_027402996.1|cas12k|Marcus,-1.0,unknown,1
BAQ60380.1|cas12k|Marcus,-1.0,unknown,1
WP_099434943.1|cas12k|Marcus,-1.0,unknown,1
WP_073629970.1|cas12k|Marcus,-1.0,unknown,1
WP_162327299.1|cas12k|Marcus,-1.0,unknown,1
BAB75312.1|cas12k|Marcus,-1.0,unknown,1
NEU74766.1|cas12k|Marcus,-1.0,unknown,1
OBQ23770.1|cas12k|Marcus,-1.0,unknown,1
WP_106367629.1|cas12k|Marcus,-1.0,unknown,1
WP_096578814.1|cas12k|Marcus,-1.0,unknown,1
BAY29310.1|cas12k|Marcus,-1.0,unknown,1
BAY29339.1|cas12k|Marcus,-1.0,unknown,1
WP_012411901.1|cas12k|Marcus,-1.0,unknown,1
WP_029636312.1|cas12k|Marcus,-1.0,unknown,1
PZO41941.1|cas12k|Marcus,-1.0,unknown,1
WP_036484397.1|cas12k|Marcus,-1.0,unknown,1
WP_006529102.1|cas12k|Marcus,-1.0,unknown,1
WP_006509624.1|cas12k|Marcus,-1.0,unknown,1
WP_118170709.1|cas12k|Marcus,-1.0,unknown,1
WP_094340324.1|cas12k|Marcus,-1.0,unknown,1
BAY94972.1|cas12k|Marcus,-1.0,unknown,1
WP_099067416.1|cas12k|Marcus,-1.0,unknown,1
BBD58003.1|cas12k|Marcus,-1.0,unknown,1
GCL44115.1|cas12k|Marcus,-1.0,unknown,1
AFY45233.1|cas12k|Marcus,-1.0,unknown,1
BAZ48772.1|cas12k|Marcus,-1.0,unknown,1
WP_104387148.1|cas12k|Marcus,-1.0,unknown,1
WP_127054896.1|cas12k|Marcus,-1.0,unknown,1
WP_053540473.1|cas12k|Marcus,-1.0,unknown,1
