,bitscore,annotation,cassette_id
A0A8T5DKE2|cas12a|uniprot_tr,1445.4,cas12a,1
A0AAE1HBR2|Cas12b|uniprot_tr,17.5,csa5,1
A0AAE1LYI9|Cas12b|uniprot_tr,-1.0,unknown,1
A0AAE1H3W7|Cas12b|uniprot_tr,14.7,csa5,1
A0A5S8WF58|Cas12a|uniprot_tr,1496.7,cas12a,1
A0A8M0FGU0|Cas12k|uniprot_tr,1344.3,cas12k,1
A0AA82WPH4|Cas12m|uniprot_tr,795.2,cas12f,1
A0A7V4UZV3|Cas12a|uniprot_tr,110.4,cas12a,1
A0A9X9ZA50|Cas12c|uniprot_tr,1422.9,cas12c,1
B0TZW3|Cas12a|uniprot_tr,342.5,cas12a,1
A0A8X6EH11|Cas12k|uniprot_tr,1341.7,cas12k,1
A0A9Y2YAH1|Cas12a|uniprot_tr,1471.5,cas12a,1
A0AA97ASA7|cas12k|uniprot_tr,603.9,cas12j,1
A0AA97AQC2|cas12k|uniprot_tr,982.9,cas12j,1
A0A948YCH0|cas12a|uniprot_tr,829.2,cas12a,1
A0A916I641|Cas12b|uniprot_tr,294.9,cas12b,1
A0A970QCU8|cas12b|uniprot_tr,728.0,cas12b,1
A0A136KIP1|Cas12a|uniprot_tr,157.4,cas12a,1
A0A849W709|Cas12a|uniprot_tr,23.9,cas12a,1
A0A2J0KLE9|Cas12a|uniprot_tr,65.8,cas12a,1
A0A2J0KLA2|Cas12a|uniprot_tr,110.0,cas12a,1
A0A3M8AW67|Cas12b|uniprot_tr,1319.8,cas12b,1
A0A942KPX6|cas12b|uniprot_tr,492.5,cas12b,1
A0A972PXE1|cas12b|uniprot_tr,771.4,cas12b,1
A0A378PH11|Cas12a|uniprot_tr,273.7,cas12a,1
A0A951QSB6|cas12k|uniprot_tr,548.2,cas12k,1
A0A951QPI2|cas12k|uniprot_tr,465.9,cas12k,1
A0A292RB09|Cas12a|uniprot_tr,-1.0,unknown,1
A0A944GZU5|cas12k|uniprot_tr,1286.0,cas12k,1
