,bitscore,annotation
no_accession_number1|Cas12a|blastp_CasPedia,1645.5,cas12a
no_accession_number2|Cas12a|blastp_CasPedia,1644.7,cas12a
no_accession_number3|Cas12a|blastp_CasPedia,1641.6,cas12a
no_accession_number4|Cas12a|blastp_CasPedia,1640.0,cas12a
no_accession_number5|Cas12u|blastp_CasPedia,440.2,cas12f
no_accession_number6|Cas12u|blastp_CasPedia,440.2,cas12f
no_accession_number7|Cas12u|blastp_CasPedia,440.2,cas12f
no_accession_number8|Cas12u|blastp_CasPedia,440.2,cas12f
no_accession_number9|Cas12f|blastp_CasPedia,338.5,cas12f
no_accession_number10|Cas12u|blastp_CasPedia,476.4,cas12f
no_accession_number11|Cas12u|blastp_CasPedia,475.0,cas12f
no_accession_number12|Cas12u|blastp_CasPedia,475.3,cas12f
no_accession_number13|Cas12u|blastp_CasPedia,474.8,cas12f
no_accession_number14|Cas12u|blastp_CasPedia,474.8,cas12f
no_accession_number15|Cas12u|blastp_CasPedia,475.3,cas12f
no_accession_number16|Cas12a|blastp_CasPedia,1663.5,cas12a
no_accession_number17|Cas12f|blastp_CasPedia,389.4,cas12f
no_accession_number18|Cas12f|blastp_CasPedia,389.4,cas12f
no_accession_number19|Cas12f|blastp_CasPedia,389.4,cas12f
no_accession_number20|Cas12n|blastp_CasPedia,795.8,cas12n
no_accession_number21|Cas12n|blastp_CasPedia,796.6,cas12n
no_accession_number22|Cas12n|blastp_CasPedia,800.3,cas12n
no_accession_number23|Cas12n|blastp_CasPedia,796.7,cas12n
no_accession_number24|Cas12n|blastp_CasPedia,798.1,cas12n
no_accession_number25|Cas12n|blastp_CasPedia,798.1,cas12n
no_accession_number26|Cas12n|blastp_CasPedia,798.0,cas12n
no_accession_number27|Cas12n|blastp_CasPedia,798.0,cas12n
no_accession_number28|Cas12n|blastp_CasPedia,798.0,cas12n
no_accession_number29|Cas12n|blastp_CasPedia,798.0,cas12n
no_accession_number30|Cas12n|blastp_CasPedia,798.0,cas12n
no_accession_number31|Cas12n|blastp_CasPedia,798.0,cas12n
no_accession_number32|Cas12n|blastp_CasPedia,798.0,cas12n
no_accession_number33|Cas12n|blastp_CasPedia,798.0,cas12n
no_accession_number34|Cas12n|blastp_CasPedia,798.0,cas12n
no_accession_number35|Cas12n|blastp_CasPedia,801.0,cas12n
no_accession_number36|Cas12n|blastp_CasPedia,801.0,cas12n
no_accession_number37|Cas12n|blastp_CasPedia,801.0,cas12n
no_accession_number38|Cas12n|blastp_CasPedia,796.3,cas12n
no_accession_number39|Cas12n|blastp_CasPedia,800.1,cas12n
no_accession_number40|Cas12n|blastp_CasPedia,795.9,cas12n
no_accession_number41|Cas12n|blastp_CasPedia,794.1,cas12n
no_accession_number42|Cas12n|blastp_CasPedia,794.3,cas12n
no_accession_number43|Cas12n|blastp_CasPedia,794.5,cas12n
no_accession_number44|Cas12n|blastp_CasPedia,799.9,cas12n
no_accession_number45|Cas12n|blastp_CasPedia,799.9,cas12n
no_accession_number46|Cas12n|blastp_CasPedia,799.9,cas12n
no_accession_number47|Cas12n|blastp_CasPedia,799.9,cas12n
no_accession_number48|Cas12n|blastp_CasPedia,799.9,cas12n
