,bitscore,annotation,cassette_id
CP050884|Cas12f|NCBI,255.6,cas12n,1
LM996749|Cas12f|NCBI,16.4,cas6,1
CP001857|Cas12f|NCBI,79.9,cas12u,1
CP091740|Cas12a|NCBI,28.1,csn2,1
CP024702|Cas12f|NCBI,227.4,cas12n,1
CP099752|Cas12f|NCBI,28.8,cas3,1
CP106852|Cas12a|NCBI,10.8,cas8e,1
AP014821|Cas12a|NCBI,16.2,csa3,1
CP076607|Cas12a|NCBI,95.3,cas12f,1
CP023278|Cas12f|NCBI,428.4,cas12f,1
CP032489|Cas12f|NCBI,216.6,cas12f,1
CP071096|Cas12f|NCBI,207.2,cas12n,1
AP028106|Cas12a|NCBI,10.8,cas8e,1
CP094074|Cas12f|NCBI,212.2,cas12n,1
CP015436|Cas12a|NCBI,74.7,cas12f,1
OY762266|Cas12f|NCBI,214.6,cas12f,1
BK042032|Cas12f|NCBI,189.3,cas12n,1
CP022124|Cas12f|NCBI,209.0,cas12n,1
CP032426|Cas12b|NCBI,32.8,cas3,1
CP021732|Cas12b|NCBI,28.8,cas3,1
CP013121|Cas12f|NCBI,177.6,DinG,1
CP071802|Cas12b|NCBI,26.0,cas3,1
CP000159|Cas12a|NCBI,15.0,csm2,1
CP091913|Cas12f|NCBI,284.7,cas12f,1
CP084524|Cas12a|NCBI,10.8,cas8e,1
AP027477|Cas12a|NCBI,31.5,cas3,1
CP084370|Cas12f|NCBI,115.5,cas12f,1
CP010967|Cas12f|NCBI,162.7,cas12f,1
CP099811|Cas12b|NCBI,26.0,cas3,1
CP023468|Cas12f|NCBI,276.6,cas12f,1
CP025886|Cas12b|NCBI,28.8,cas3,1
CP122695|Cas12b|NCBI,32.2,cas3,1
CP054060|Cas12a|NCBI,10.8,cas8e,1
CP017692|Cas12f|NCBI,248.7,cas12f,1
CP003620|Cas12f|NCBI,214.4,cas12f,1
AP018227|Cas12a|NCBI,16.5,cas11b,1
CP133588|Cas12f|NCBI,190.4,cas12f,1
CP086353|Cas12f|NCBI,276.6,cas12f,1
CP082909|Cas12f|NCBI,244.7,cas12f,1
CP012309|Cas12f|NCBI,209.6,cas12f,1
AP027963|Cas12b|NCBI,28.8,cas3,1
CP114347|Cas12b|NCBI,28.8,cas3,1
CP075105|Cas12f|NCBI,276.6,cas12f,1
AP018203|Cas12b|NCBI,923.5,cas12j,1
CP000806|Cas12f|NCBI,171.4,cas12f,1
AP018307|Cas12a|NCBI,21.5,cas4,1
CP029709|Cas12f|NCBI,31.4,cas3,1
CP001720|Cas12f|NCBI,221.2,cas12f,1
OY729422|Cas12a|NCBI,1395.0,cas12c,1
CP103540|Cas12b|NCBI,28.8,cas3,1
CP098703|Cas12b|NCBI,26.0,cas3,1
CP060140|Cas12a|NCBI,1033.4,cas12k,1
CP072361|Cas12f|NCBI,14.4,cas5,1
CP117768|Cas12f|NCBI,197.9,cas12f,1
CP021879|Cas12b|NCBI,28.8,cas3,1
CP028813|Cas12a|NCBI,10.8,cas8e,1
CP013328|Cas12f|NCBI,179.1,DinG,1
CP050882|Cas12f|NCBI,421.3,cas12f,1
CP098719|Cas12b|NCBI,26.0,cas3,1
CP009503|Cas12f|NCBI,234.2,cas12f,1
CP086501|Cas12a|NCBI,9.5,cas8e,1
CP101915|Cas12b|NCBI,28.8,cas3,1
CP080126|Cas12b|NCBI,28.8,cas3,1
CP000239|Cas12f|NCBI,297.4,cas12f,1
CP051500|Cas12f|NCBI,213.0,cas12f,1
CP122655|Cas12b|NCBI,32.2,cas3,1
CP000970|Cas12b|NCBI,29.0,cas3,1
CP074264|Cas12b|NCBI,126.0,DinG,1
CP136751|Cas12f|NCBI,705.2,cas12c,1
BK039564|Cas12f|NCBI,231.0,cas12f,1
CP030121|Cas12f|NCBI,167.4,cas12n,1
