,bitscore,annotation
WP_106260488.1|cas12k|Marcus,-1.0,unknown
WP_066425713.1|cas12k|Marcus,-1.0,unknown
WP_103140752.1|cas12k|Marcus,-1.0,unknown
WP_015225496.1|cas12k|Marcus,-1.0,unknown
OCQ91136.1|cas12k|Marcus,-1.0,unknown
WP_027402996.1|cas12k|Marcus,-1.0,unknown
BAQ60380.1|cas12k|Marcus,-1.0,unknown
WP_099434943.1|cas12k|Marcus,-1.0,unknown
WP_073629970.1|cas12k|Marcus,-1.0,unknown
WP_162327299.1|cas12k|Marcus,-1.0,unknown
BAB75312.1|cas12k|Marcus,-1.0,unknown
NEU74766.1|cas12k|Marcus,-1.0,unknown
OBQ23770.1|cas12k|Marcus,-1.0,unknown
WP_106367629.1|cas12k|Marcus,-1.0,unknown
WP_096578814.1|cas12k|Marcus,-1.0,unknown
BAY29310.1|cas12k|Marcus,-1.0,unknown
BAY29339.1|cas12k|Marcus,-1.0,unknown
WP_012411901.1|cas12k|Marcus,-1.0,unknown
WP_029636312.1|cas12k|Marcus,-1.0,unknown
PZO41941.1|cas12k|Marcus,-1.0,unknown
WP_036484397.1|cas12k|Marcus,-1.0,unknown
WP_006529102.1|cas12k|Marcus,-1.0,unknown
WP_006509624.1|cas12k|Marcus,-1.0,unknown
WP_118170709.1|cas12k|Marcus,-1.0,unknown
WP_094340324.1|cas12k|Marcus,-1.0,unknown
BAY94972.1|cas12k|Marcus,-1.0,unknown
WP_099067416.1|cas12k|Marcus,-1.0,unknown
BBD58003.1|cas12k|Marcus,-1.0,unknown
GCL44115.1|cas12k|Marcus,-1.0,unknown
AFY45233.1|cas12k|Marcus,-1.0,unknown
BAZ48772.1|cas12k|Marcus,-1.0,unknown
WP_104387148.1|cas12k|Marcus,-1.0,unknown
WP_127054896.1|cas12k|Marcus,-1.0,unknown
WP_053540473.1|cas12k|Marcus,-1.0,unknown
WP_008276596.1|cas12k|Marcus,-1.0,unknown
ACB53128.1|cas12k|Marcus,-1.0,unknown
QFS48942.1|cas12k|Marcus,-1.0,unknown
BAY20677.1|cas12k|Marcus,-1.0,unknown
BAT55382.1|cas12k|Marcus,-1.0,unknown
OUC12050.1|cas12k|Marcus,-1.0,unknown
WP_017296743.1|cas12k|Marcus,-1.0,unknown
WP_015184614.1|cas12k|Marcus,-1.0,unknown
WP_072619878.1|cas12k|Marcus,-1.0,unknown
WP_146294649.1|cas12k|Marcus,-1.0,unknown
BAZ36934.1|cas12k|Marcus,-1.0,unknown
WP_019497312.1|cas12k|Marcus,-1.0,unknown
WP_152590046.1|cas12k|Marcus,-1.0,unknown
PZV06487.1|cas12k|Marcus,-1.0,unknown
WP_094343940.1|cas12k|Marcus,-1.0,unknown
WP_106368686.1|cas12k|Marcus,-1.0,unknown
WP_099436544.1|cas12k|Marcus,-1.0,unknown
AUC60501.1|cas12k|Marcus,-1.0,unknown
BAQ64620.1|cas12k|Marcus,-1.0,unknown
WP_088893327.1|cas12k|Marcus,-1.0,unknown
WP_069791082.1|cas12k|Marcus,-1.0,unknown
WP_015183357.1|cas12k|Marcus,-1.0,unknown
WP_027843568.1|cas12k|Marcus,-1.0,unknown
WP_096384998.1|cas12k|Marcus,-1.0,unknown
CDN11863.1|cas12k|Marcus,-1.0,unknown
WP_163929718.1|cas12k|Marcus,-1.0,unknown
WP_039730330.1|cas12k|Marcus,-1.0,unknown
WP_073608258.1|cas12k|Marcus,-1.0,unknown
BAY38490.1|cas12k|Marcus,-1.0,unknown
AFY67257.1|cas12k|Marcus,-1.0,unknown
ABA20785.1|cas12k|Marcus,-1.0,unknown
AFZ58287.1|cas12k|Marcus,-1.0,unknown
AFZ13451.1|cas12k|Marcus,-1.0,unknown
BAY83128.1|cas12k|Marcus,-1.0,unknown
ABA20947.1|cas12k|Marcus,-1.0,unknown
ALF54868.1|cas12k|Marcus,-1.0,unknown
ACK66236.1|cas12k|Marcus,-1.0,unknown
AFZ00435.1|cas12k|Marcus,-1.0,unknown
AFZ56196.1|cas12k|Marcus,-1.0,unknown
BAS55909.1|cas12k|Marcus,-1.0,unknown
ABA21816.1|cas12k|Marcus,-1.0,unknown
ACK66979.1|cas12k|Marcus,-1.0,unknown
AFZ13045.1|cas12k|Marcus,-1.0,unknown
KYC40734.1|cas12k|Marcus,-1.0,unknown
BAQ63841.1|cas12k|Marcus,-1.0,unknown
ACK66984.1|cas12k|Marcus,-1.0,unknown
WP_174709822.1|cas12k|Marcus,-1.0,unknown
WP_181927535.1|cas12k|Marcus,-1.0,unknown
WP_167726880.1|cas12k|Marcus,-1.0,unknown
WP_174709709.1|cas12k|Marcus,-1.0,unknown
WP_096598305.1|cas12k|Marcus,-1.0,unknown
WP_169266289.1|cas12k|Marcus,-1.0,unknown
WP_168696136.1|cas12k|Marcus,-1.0,unknown
WP_167726285.1|cas12k|Marcus,-1.0,unknown
WP_179072481.1|cas12k|Marcus,-1.0,unknown
WP_015161245.1|cas12k|Marcus,-1.0,unknown
WP_088892326.1|cas12k|Marcus,-1.0,unknown
WP_165390112.1|cas12k|Marcus,-1.0,unknown
WP_088893813.1|cas12k|Marcus,-1.0,unknown
WP_106255089.1|cas12k|Marcus,-1.0,unknown
BAU13962.1|cas12k|Marcus,-1.0,unknown
QOV23600.1|cas12k|Marcus,-1.0,unknown
AUC60976.1|cas12k|Marcus,-1.0,unknown
QSJ20838.1|cas12k|Marcus,-1.0,unknown
QSJ20360.1|cas12k|Marcus,-1.0,unknown
WP_181154120.1|cas12k|Marcus,-1.0,unknown
WP_190711461.1|cas12k|Marcus,-1.0,unknown
PSN12342.1|cas12k|Marcus,-1.0,unknown
PSN81036.1|cas12k|Marcus,-1.0,unknown
WP_068819945.1|cas12k|Marcus,-1.0,unknown
PSB14763.1|cas12k|Marcus,-1.0,unknown
QXE24819.1|cas12k|Marcus,-1.0,unknown
BAZ64546.1|cas12k|Marcus,-1.0,unknown
BAB74390.1|cas12k|Marcus,-1.0,unknown
WP_069072561.1|cas12k|Marcus,-1.0,unknown
BAZ25538.1|cas12k|Marcus,-1.0,unknown
BAY94246.1|cas12k|Marcus,-1.0,unknown
WP_187308154.1|cas12k|Marcus,-1.0,unknown
BAY18180.1|cas12k|Marcus,-1.0,unknown
WP_096573641.1|cas12k|Marcus,-1.0,unknown
WP_094342550.1|cas12k|Marcus,-1.0,unknown
AUB36901.1|cas12k|Marcus,-1.0,unknown
BAZ48744.1|cas12k|Marcus,-1.0,unknown
QSJ20352.1|cas12k|Marcus,-1.0,unknown
WP_206757980.1_WP_199328250.1|cas12k|Marcus,-1.0,unknown
WP_236143860.1|cas12k|Marcus,-1.0,unknown
MBL1200960.1|cas12k|Marcus,-1.0,unknown
MBD2301207.1|cas12k|Marcus,-1.0,unknown
MBN3890555.1_MBN3890556.1|cas12k|Marcus,-1.0,unknown
MBD2451646.1|cas12k|Marcus,-1.0,unknown
MBD2726684.1|cas12k|Marcus,-1.0,unknown
MBH8577236.1|cas12k|Marcus,-1.0,unknown
MBD2490463.1|cas12k|Marcus,-1.0,unknown
MBD2513857.1|cas12k|Marcus,-1.0,unknown
