,bitscore,annotation,cassette_id
MK005750.1|no_gene_name|tblastn_CasPedia,902.2,cas12f,1
MK005752.1|no_gene_name|tblastn_CasPedia,1012.7,cas12f,1
CP010408.1|no_gene_name|tblastn_CasPedia,503.2,cas12f,1
AP018248.1|no_gene_name|tblastn_CasPedia,1176.9,cas12k,1
CP183473.1|no_gene_name|tblastn_CasPedia,1180.6,cas12k,1
BA000019.2|no_gene_name|tblastn_CasPedia,1180.6,cas12k,1
CP183817.1|no_gene_name|tblastn_CasPedia,1180.6,cas12k,1
AP018216.1|no_gene_name|tblastn_CasPedia,1180.6,cas12k,1
CP099464.1|no_gene_name|tblastn_CasPedia,1167.7,cas12k,1
CP063311.1|no_gene_name|tblastn_CasPedia,1135.2,cas12k,1
CP001037.1|no_gene_name|tblastn_CasPedia,1205.1,cas12k,1
CP031941.1|no_gene_name|tblastn_CasPedia,1048.7,cas12k,1
CP040094.1|no_gene_name|tblastn_CasPedia,1033.3,cas12j,1
CP170991.1|no_gene_name|tblastn_CasPedia,1050.5,cas12k,1
CP054698.1|no_gene_name|tblastn_CasPedia,994.7,cas12j,1
CP071065.1|no_gene_name|tblastn_CasPedia,1048.5,cas12k,1
CP001287.1|no_gene_name|tblastn_CasPedia,959.2,cas12j,1
CP003284.1|no_gene_name|tblastn_CasPedia,420.0,cas12f,1
CP050882.1|no_gene_name|tblastn_CasPedia,420.9,cas12f,1
CP050891.1|no_gene_name|tblastn_CasPedia,423.1,cas12f,1
CP050871.1|no_gene_name|tblastn_CasPedia,423.1,cas12f,1
CP051206.1|no_gene_name|tblastn_CasPedia,1044.5,cas12k,1
CP043056.1|no_gene_name|tblastn_CasPedia,417.8,cas12f,1
CP050884.1|no_gene_name|tblastn_CasPedia,418.2,cas12f,1
CP060140.1|no_gene_name|tblastn_CasPedia,1025.2,cas12k,1
CP051528.1|no_gene_name|tblastn_CasPedia,314.0,cas12f,1
CP003642.1|no_gene_name|tblastn_CasPedia,278.7,cas12f,1
CP170511.1|no_gene_name|tblastn_CasPedia,428.3,cas12f,1
CP051187.1|no_gene_name|tblastn_CasPedia,428.3,cas12f,1
CP051186.1|no_gene_name|tblastn_CasPedia,428.3,cas12f,1
CP050309.1|no_gene_name|tblastn_CasPedia,1123.5,cas12k,1
CP070233.1|no_gene_name|tblastn_CasPedia,1123.5,cas12k,1
AP018218.1|no_gene_name|tblastn_CasPedia,59.3,cas12f,1
MK005755.1|no_gene_name|tblastn_CasPedia,20.4,cas12f,1
CP000117.1|no_gene_name|tblastn_CasPedia,1182.8,cas12k,1
CP047242.1|no_gene_name|tblastn_CasPedia,1182.8,cas12k,1
