,bitscore,annotation
CP050884|Cas12f|NCBI,255.6,cas12n
LM996749|Cas12f|NCBI,16.4,cas6
CP001857|Cas12f|NCBI,79.9,cas12u
CP091740|Cas12a|NCBI,28.1,csn2
CP024702|Cas12f|NCBI,227.4,cas12n
CP099752|Cas12f|NCBI,28.8,cas3
CP106852|Cas12a|NCBI,10.8,cas8e
AP014821|Cas12a|NCBI,16.2,csa3
CP076607|Cas12a|NCBI,95.3,cas12f
CP023278|Cas12f|NCBI,428.4,cas12f
CP032489|Cas12f|NCBI,216.6,cas12f
CP071096|Cas12f|NCBI,207.2,cas12n
AP028106|Cas12a|NCBI,10.8,cas8e
CP094074|Cas12f|NCBI,212.2,cas12n
CP015436|Cas12a|NCBI,74.7,cas12f
OY762266|Cas12f|NCBI,214.6,cas12f
BK042032|Cas12f|NCBI,189.3,cas12n
CP022124|Cas12f|NCBI,209.0,cas12n
CP032426|Cas12b|NCBI,32.8,cas3
CP021732|Cas12b|NCBI,28.8,cas3
CP013121|Cas12f|NCBI,177.6,DinG
CP071802|Cas12b|NCBI,26.0,cas3
CP000159|Cas12a|NCBI,15.0,csm2
CP091913|Cas12f|NCBI,284.7,cas12f
CP084524|Cas12a|NCBI,10.8,cas8e
AP027477|Cas12a|NCBI,31.5,cas3
CP084370|Cas12f|NCBI,115.5,cas12f
CP010967|Cas12f|NCBI,162.7,cas12f
CP099811|Cas12b|NCBI,26.0,cas3
CP023468|Cas12f|NCBI,276.6,cas12f
CP025886|Cas12b|NCBI,28.8,cas3
CP122695|Cas12b|NCBI,32.2,cas3
CP054060|Cas12a|NCBI,10.8,cas8e
CP017692|Cas12f|NCBI,248.7,cas12f
CP003620|Cas12f|NCBI,214.4,cas12f
AP018227|Cas12a|NCBI,16.5,cas11b
CP133588|Cas12f|NCBI,190.4,cas12f
CP086353|Cas12f|NCBI,276.6,cas12f
CP082909|Cas12f|NCBI,244.7,cas12f
CP012309|Cas12f|NCBI,209.6,cas12f
