,bitscore,annotation,cassette_id
U2UMQ6|cas12a|uniprot_sp,1432.6,cas12a,1
A0Q7Q2|cas12a|uniprot_sp,1820.8,cas12a,1
T0D7A2|cas12b|uniprot_sp,1445.6,cas12b,1
A0A1J4UAV9|cas12f2|uniprot_sp,1295.4,cas12f,1
A0A2U3D0N8|cas12f1|uniprot_sp,813.9,cas12f,1
P0DW62|cas12f1|uniprot_sp,1036.5,cas12f,1
A0A482D308|cas12f|uniprot_sp,764.9,cas12f,1
D7BJT1|cas12m|uniprot_sp,329.2,cas12f,1
H5TRP0|cas12m|uniprot_sp,789.3,cas12f,1
P0DXB1|cas12m|uniprot_sp,795.2,cas12f,1
A0R7K8|cas12m|uniprot_sp,301.0,cas12f,1
A0A7G6E019|cas12m|uniprot_sp,651.5,cas12f,1
